LAST SEEN   TYPE      REASON                         OBJECT                                     MESSAGE
21m         Warning   Unhealthy                      pod/aws-node-7hqlb                         Readiness probe failed: {"level":"info","ts":"2022-09-02T16:23:09.496Z","caller":"/usr/local/go/src/runtime/proc.go:225","msg":"timeout: failed to connect service \":50051\" within 5s"}
28m         Warning   NodeNotReady                   pod/aws-node-9trg4                         Node is not ready
48m         Normal    Scheduled                      pod/aws-node-bt6h6                         Successfully assigned kube-system/aws-node-bt6h6 to ip-10-1-1-25.eu-west-3.compute.internal
48m         Normal    Pulling                        pod/aws-node-bt6h6                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
48m         Normal    Pulled                         pod/aws-node-bt6h6                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 9.953530453s
48m         Normal    Created                        pod/aws-node-bt6h6                         Created container aws-vpc-cni-init
48m         Normal    Started                        pod/aws-node-bt6h6                         Started container aws-vpc-cni-init
48m         Normal    Pulling                        pod/aws-node-bt6h6                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
48m         Normal    Pulled                         pod/aws-node-bt6h6                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 2.694583932s
48m         Normal    Created                        pod/aws-node-bt6h6                         Created container aws-node
48m         Normal    Started                        pod/aws-node-bt6h6                         Started container aws-node
38m         Warning   NodeNotReady                   pod/aws-node-bt6h6                         Node is not ready
21m         Normal    Scheduled                      pod/aws-node-hg6k2                         Successfully assigned kube-system/aws-node-hg6k2 to ip-10-1-12-138.eu-west-3.compute.internal
21m         Normal    Pulling                        pod/aws-node-hg6k2                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
21m         Normal    Pulled                         pod/aws-node-hg6k2                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 9.861632359s
21m         Normal    Created                        pod/aws-node-hg6k2                         Created container aws-vpc-cni-init
21m         Normal    Started                        pod/aws-node-hg6k2                         Started container aws-vpc-cni-init
21m         Normal    Pulling                        pod/aws-node-hg6k2                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
21m         Normal    Pulled                         pod/aws-node-hg6k2                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 2.994806995s
21m         Normal    Created                        pod/aws-node-hg6k2                         Created container aws-node
21m         Normal    Started                        pod/aws-node-hg6k2                         Started container aws-node
14m         Normal    ScaleDown                      pod/aws-node-hg6k2                         deleting pod for node scale down
14m         Normal    Killing                        pod/aws-node-hg6k2                         Stopping container aws-node
39m         Normal    Scheduled                      pod/aws-node-hndgn                         Successfully assigned kube-system/aws-node-hndgn to ip-10-1-52-192.eu-west-3.compute.internal
39m         Normal    Pulled                         pod/aws-node-hndgn                         Container image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" already present on machine
39m         Normal    Created                        pod/aws-node-hndgn                         Created container aws-vpc-cni-init
39m         Normal    Started                        pod/aws-node-hndgn                         Started container aws-vpc-cni-init
39m         Normal    Pulled                         pod/aws-node-hndgn                         Container image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" already present on machine
39m         Normal    Created                        pod/aws-node-hndgn                         Created container aws-node
39m         Normal    Started                        pod/aws-node-hndgn                         Started container aws-node
38m         Warning   NodeNotReady                   pod/aws-node-hndgn                         Node is not ready
21m         Normal    Scheduled                      pod/aws-node-jhnw2                         Successfully assigned kube-system/aws-node-jhnw2 to ip-10-1-0-97.eu-west-3.compute.internal
21m         Normal    Pulling                        pod/aws-node-jhnw2                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
21m         Normal    Pulled                         pod/aws-node-jhnw2                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 9.662116531s
21m         Normal    Created                        pod/aws-node-jhnw2                         Created container aws-vpc-cni-init
21m         Normal    Started                        pod/aws-node-jhnw2                         Started container aws-vpc-cni-init
21m         Normal    Pulling                        pod/aws-node-jhnw2                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
21m         Normal    Pulled                         pod/aws-node-jhnw2                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 2.621903785s
21m         Normal    Created                        pod/aws-node-jhnw2                         Created container aws-node
21m         Normal    Started                        pod/aws-node-jhnw2                         Started container aws-node
21m         Warning   Unhealthy                      pod/aws-node-jhnw2                         Readiness probe failed: {"level":"info","ts":"2022-09-02T16:23:05.215Z","caller":"/usr/local/go/src/runtime/proc.go:225","msg":"timeout: failed to connect service \":50051\" within 5s"}
21m         Normal    Scheduled                      pod/aws-node-k8l9n                         Successfully assigned kube-system/aws-node-k8l9n to ip-10-1-51-246.eu-west-3.compute.internal
21m         Normal    Pulling                        pod/aws-node-k8l9n                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
21m         Normal    Pulled                         pod/aws-node-k8l9n                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 9.41826527s
21m         Normal    Created                        pod/aws-node-k8l9n                         Created container aws-vpc-cni-init
21m         Normal    Started                        pod/aws-node-k8l9n                         Started container aws-vpc-cni-init
21m         Normal    Pulling                        pod/aws-node-k8l9n                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
21m         Normal    Pulled                         pod/aws-node-k8l9n                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 2.506147858s
21m         Normal    Created                        pod/aws-node-k8l9n                         Created container aws-node
21m         Normal    Started                        pod/aws-node-k8l9n                         Started container aws-node
56m         Normal    ScaleDown                      pod/aws-node-lg977                         deleting pod for node scale down
56m         Normal    Killing                        pod/aws-node-lg977                         Stopping container aws-node
38m         Normal    Scheduled                      pod/aws-node-p2j82                         Successfully assigned kube-system/aws-node-p2j82 to ip-10-1-38-3.eu-west-3.compute.internal
38m         Normal    Pulling                        pod/aws-node-p2j82                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
38m         Normal    Pulled                         pod/aws-node-p2j82                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 9.49351089s
38m         Normal    Created                        pod/aws-node-p2j82                         Created container aws-vpc-cni-init
38m         Normal    Started                        pod/aws-node-p2j82                         Started container aws-vpc-cni-init
38m         Normal    Pulling                        pod/aws-node-p2j82                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
38m         Normal    Pulled                         pod/aws-node-p2j82                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 2.493610536s
37m         Normal    Created                        pod/aws-node-p2j82                         Created container aws-node
37m         Normal    Started                        pod/aws-node-p2j82                         Started container aws-node
28m         Warning   NodeNotReady                   pod/aws-node-p2j82                         Node is not ready
14m         Normal    Scheduled                      pod/aws-node-thtgs                         Successfully assigned kube-system/aws-node-thtgs to ip-10-1-12-138.eu-west-3.compute.internal
14m         Normal    Pulled                         pod/aws-node-thtgs                         Container image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" already present on machine
14m         Normal    Created                        pod/aws-node-thtgs                         Created container aws-vpc-cni-init
14m         Normal    Started                        pod/aws-node-thtgs                         Started container aws-vpc-cni-init
14m         Normal    Pulled                         pod/aws-node-thtgs                         Container image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" already present on machine
14m         Normal    Created                        pod/aws-node-thtgs                         Created container aws-node
14m         Normal    Started                        pod/aws-node-thtgs                         Started container aws-node
13m         Warning   NodeNotReady                   pod/aws-node-thtgs                         Node is not ready
55m         Warning   NodeNotReady                   pod/aws-node-v2bvx                         Node is not ready
12m         Normal    Scheduled                      pod/aws-node-vh7bk                         Successfully assigned kube-system/aws-node-vh7bk to ip-10-1-26-106.eu-west-3.compute.internal
12m         Normal    Pulling                        pod/aws-node-vh7bk                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
12m         Normal    Pulled                         pod/aws-node-vh7bk                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 10.215540679s
12m         Normal    Created                        pod/aws-node-vh7bk                         Created container aws-vpc-cni-init
12m         Normal    Started                        pod/aws-node-vh7bk                         Started container aws-vpc-cni-init
12m         Normal    Pulling                        pod/aws-node-vh7bk                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
12m         Normal    Pulled                         pod/aws-node-vh7bk                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 2.764584039s
12m         Normal    Created                        pod/aws-node-vh7bk                         Created container aws-node
12m         Normal    Started                        pod/aws-node-vh7bk                         Started container aws-node
28m         Warning   NodeNotReady                   pod/aws-node-vj8dr                         Node is not ready
56m         Normal    Scheduled                      pod/aws-node-xhjpf                         Successfully assigned kube-system/aws-node-xhjpf to ip-10-1-34-180.eu-west-3.compute.internal
56m         Normal    Pulled                         pod/aws-node-xhjpf                         Container image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" already present on machine
56m         Normal    Created                        pod/aws-node-xhjpf                         Created container aws-vpc-cni-init
56m         Normal    Started                        pod/aws-node-xhjpf                         Started container aws-vpc-cni-init
56m         Normal    Pulled                         pod/aws-node-xhjpf                         Container image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" already present on machine
56m         Normal    Created                        pod/aws-node-xhjpf                         Created container aws-node
56m         Normal    Started                        pod/aws-node-xhjpf                         Started container aws-node
56m         Warning   Unhealthy                      pod/aws-node-xhjpf                         Readiness probe failed: {"level":"info","ts":"2022-09-02T15:47:59.790Z","caller":"/usr/local/go/src/runtime/proc.go:225","msg":"timeout: failed to connect service \":50051\" within 5s"}
55m         Warning   NodeNotReady                   pod/aws-node-xhjpf                         Node is not ready
35m         Normal    Scheduled                      pod/aws-node-xkvs6                         Successfully assigned kube-system/aws-node-xkvs6 to ip-10-1-32-108.eu-west-3.compute.internal
34m         Normal    Pulling                        pod/aws-node-xkvs6                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
34m         Normal    Pulled                         pod/aws-node-xkvs6                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 9.300581082s
34m         Normal    Created                        pod/aws-node-xkvs6                         Created container aws-vpc-cni-init
34m         Normal    Started                        pod/aws-node-xkvs6                         Started container aws-vpc-cni-init
34m         Normal    Pulling                        pod/aws-node-xkvs6                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
34m         Normal    Pulled                         pod/aws-node-xkvs6                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 2.490353905s
34m         Normal    Created                        pod/aws-node-xkvs6                         Created container aws-node
34m         Normal    Started                        pod/aws-node-xkvs6                         Started container aws-node
28m         Warning   NodeNotReady                   pod/aws-node-xkvs6                         Node is not ready
21m         Normal    Scheduled                      pod/aws-node-xnzgm                         Successfully assigned kube-system/aws-node-xnzgm to ip-10-1-37-225.eu-west-3.compute.internal
21m         Normal    Pulling                        pod/aws-node-xnzgm                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
21m         Normal    Pulled                         pod/aws-node-xnzgm                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 9.974627916s
21m         Normal    Created                        pod/aws-node-xnzgm                         Created container aws-vpc-cni-init
21m         Normal    Started                        pod/aws-node-xnzgm                         Started container aws-vpc-cni-init
21m         Normal    Pulling                        pod/aws-node-xnzgm                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
21m         Normal    Pulled                         pod/aws-node-xnzgm                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 2.736922965s
21m         Normal    Created                        pod/aws-node-xnzgm                         Created container aws-node
21m         Normal    Started                        pod/aws-node-xnzgm                         Started container aws-node
21m         Warning   Unhealthy                      pod/aws-node-xnzgm                         Readiness probe failed: {"level":"info","ts":"2022-09-02T16:23:07.470Z","caller":"/usr/local/go/src/runtime/proc.go:225","msg":"timeout: failed to connect service \":50051\" within 5s"}
12m         Warning   NodeNotReady                   pod/aws-node-xnzgm                         Node is not ready
56m         Normal    SuccessfulCreate               daemonset/aws-node                         Created pod: aws-node-xhjpf
54m         Normal    SuccessfulCreate               daemonset/aws-node                         Created pod: aws-node-4gtff
48m         Normal    SuccessfulCreate               daemonset/aws-node                         Created pod: aws-node-bt6h6
39m         Normal    SuccessfulCreate               daemonset/aws-node                         Created pod: aws-node-hndgn
35m         Normal    SuccessfulCreate               daemonset/aws-node                         (combined from similar events): Created pod: aws-node-xkvs6
21m         Normal    SuccessfulCreate               daemonset/aws-node                         Created pod: aws-node-jhnw2
21m         Normal    SuccessfulCreate               daemonset/aws-node                         Created pod: aws-node-hg6k2
21m         Normal    SuccessfulCreate               daemonset/aws-node                         Created pod: aws-node-xnzgm
21m         Normal    SuccessfulCreate               daemonset/aws-node                         Created pod: aws-node-k8l9n
21m         Normal    SuccessfulCreate               daemonset/aws-node                         Created pod: aws-node-7hqlb
14m         Normal    SuccessfulCreate               daemonset/aws-node                         Created pod: aws-node-thtgs
12m         Normal    SuccessfulCreate               daemonset/aws-node                         Created pod: aws-node-vh7bk
20m         Normal    Scheduled                      pod/cluster-autoscaler-5f6f5fd7dc-4zf56    Successfully assigned kube-system/cluster-autoscaler-5f6f5fd7dc-4zf56 to ip-10-1-62-180.eu-west-3.compute.internal
20m         Normal    Pulling                        pod/cluster-autoscaler-5f6f5fd7dc-4zf56    Pulling image "hub.simloudcorp.customers.simloud.com/k8s-artifacts-prod/autoscaling/cluster-autoscaler:v1.21.1"
20m         Normal    Pulled                         pod/cluster-autoscaler-5f6f5fd7dc-4zf56    Successfully pulled image "hub.simloudcorp.customers.simloud.com/k8s-artifacts-prod/autoscaling/cluster-autoscaler:v1.21.1" in 9.127772132s
20m         Normal    Created                        pod/cluster-autoscaler-5f6f5fd7dc-4zf56    Created container cluster-autoscaler
20m         Normal    Started                        pod/cluster-autoscaler-5f6f5fd7dc-4zf56    Started container cluster-autoscaler
19m         Normal    Killing                        pod/cluster-autoscaler-5f6f5fd7dc-4zf56    Stopping container cluster-autoscaler
29m         Normal    Killing                        pod/cluster-autoscaler-5f6f5fd7dc-c4rdb    Stopping container cluster-autoscaler
29m         Normal    SuccessfulDelete               replicaset/cluster-autoscaler-5f6f5fd7dc   Deleted pod: cluster-autoscaler-5f6f5fd7dc-c4rdb
20m         Normal    SuccessfulCreate               replicaset/cluster-autoscaler-5f6f5fd7dc   Created pod: cluster-autoscaler-5f6f5fd7dc-4zf56
19m         Normal    SuccessfulDelete               replicaset/cluster-autoscaler-5f6f5fd7dc   Deleted pod: cluster-autoscaler-5f6f5fd7dc-4zf56
20m         Normal    Scheduled                      pod/cluster-autoscaler-797dc49745-5pk4z    Successfully assigned kube-system/cluster-autoscaler-797dc49745-5pk4z to ip-10-1-0-97.eu-west-3.compute.internal
20m         Normal    Pulling                        pod/cluster-autoscaler-797dc49745-5pk4z    Pulling image "hub.simloudcorp.customers.simloud.com/k8s-artifacts-prod/autoscaling/cluster-autoscaler:v1.21.1"
20m         Normal    Pulled                         pod/cluster-autoscaler-797dc49745-5pk4z    Successfully pulled image "hub.simloudcorp.customers.simloud.com/k8s-artifacts-prod/autoscaling/cluster-autoscaler:v1.21.1" in 9.925299501s
20m         Normal    Created                        pod/cluster-autoscaler-797dc49745-5pk4z    Created container cluster-autoscaler
20m         Normal    Started                        pod/cluster-autoscaler-797dc49745-5pk4z    Started container cluster-autoscaler
20m         Normal    SuccessfulCreate               replicaset/cluster-autoscaler-797dc49745   Created pod: cluster-autoscaler-797dc49745-5pk4z
56m         Normal    ScaleDown                      configmap/cluster-autoscaler-status        Scale-down: removing node ip-10-1-34-180.eu-west-3.compute.internal, utilization: {0.4792746113989637 0.2261777461460521 0 cpu 0.4792746113989637}, pods to reschedule: kube-system/vault-agent-injector-57d87ff44f-qq88s,kube-system/coredns-9b5d74bfb-x6mgf,kube-system/consul-server-2,kube-system/metrics-server-645499f5cf-h969p
49m         Normal    ScaledUpGroup                  configmap/cluster-autoscaler-status        Scale-up: setting group eksctl-Olga-olga-new-1259e40f2-c525-4acc-9849-3983bc91e9b6-nodegroup-61bb1b32-d5dd-4f04-83bb-256a7dd8615c-NodeGroup-1RLXJSW61L9SQ size to 5
40m         Normal    ScaleDown                      configmap/cluster-autoscaler-status        Scale-down: removing node ip-10-1-52-192.eu-west-3.compute.internal, utilization: {0.4792746113989637 0.19326828572797572 0 cpu 0.4792746113989637}, pods to reschedule: kube-system/vault-agent-injector-57d87ff44f-vtsc7,default/micro-service2-5cc8c54dbc-87s2t
14m         Normal    ScaleDown                      configmap/cluster-autoscaler-status        Scale-down: removing node ip-10-1-12-138.eu-west-3.compute.internal, utilization: {0.4274611398963731 0.20523536224363986 0 cpu 0.4274611398963731}, pods to reschedule: kube-system/kubed-6b446694ff-wsknb,kube-system/grafana-b488bf7c-84nwq,kube-system/consul-server-1,kube-system/vault-agent-injector-57d87ff44f-t9mw8
20m         Normal    ScalingReplicaSet              deployment/cluster-autoscaler              Scaled up replica set cluster-autoscaler-5f6f5fd7dc to 1
19m         Normal    ScalingReplicaSet              deployment/cluster-autoscaler              Scaled down replica set cluster-autoscaler-5f6f5fd7dc to 0
20m         Normal    ScalingReplicaSet              deployment/cluster-autoscaler              Scaled up replica set cluster-autoscaler-797dc49745 to 1
19m         Normal    LeaderElection                 lease/cluster-autoscaler                   cluster-autoscaler-797dc49745-5pk4z became leader
12m         Normal    Scheduled                      pod/consul-2bckm                           Successfully assigned kube-system/consul-2bckm to ip-10-1-26-106.eu-west-3.compute.internal
12m         Normal    Pulling                        pod/consul-2bckm                           Pulling image "hub.simloudcorp.customers.simloud.com/hashicorp/consul:1.10.0"
11m         Normal    Pulled                         pod/consul-2bckm                           Successfully pulled image "hub.simloudcorp.customers.simloud.com/hashicorp/consul:1.10.0" in 6.751842092s
11m         Normal    Created                        pod/consul-2bckm                           Created container consul
11m         Normal    Started                        pod/consul-2bckm                           Started container consul
5m18s       Warning   Unhealthy                      pod/consul-2bckm                           Readiness probe failed:
29m         Warning   Unhealthy                      pod/consul-4l5wn                           Readiness probe failed:
29m         Normal    Killing                        pod/consul-4l5wn                           Stopping container consul
20m         Normal    Scheduled                      pod/consul-56fn4                           Successfully assigned kube-system/consul-56fn4 to ip-10-1-0-97.eu-west-3.compute.internal
20m         Normal    Pulling                        pod/consul-56fn4                           Pulling image "hub.simloudcorp.customers.simloud.com/hashicorp/consul:1.10.0"
20m         Normal    Pulled                         pod/consul-56fn4                           Successfully pulled image "hub.simloudcorp.customers.simloud.com/hashicorp/consul:1.10.0" in 14.323043528s
20m         Normal    Created                        pod/consul-56fn4                           Created container consul
20m         Normal    Started                        pod/consul-56fn4                           Started container consul
19m         Warning   Unhealthy                      pod/consul-56fn4                           Readiness probe failed:
56m         Normal    ScaleDown                      pod/consul-6wrlb                           deleting pod for node scale down
56m         Normal    Killing                        pod/consul-6wrlb                           Stopping container consul
47m         Normal    Scheduled                      pod/consul-b2pcs                           Successfully assigned kube-system/consul-b2pcs to ip-10-1-1-25.eu-west-3.compute.internal
47m         Normal    Pulling                        pod/consul-b2pcs                           Pulling image "hub.simloudcorp.customers.simloud.com/hashicorp/consul:1.10.0"
47m         Normal    Pulled                         pod/consul-b2pcs                           Successfully pulled image "hub.simloudcorp.customers.simloud.com/hashicorp/consul:1.10.0" in 6.203569787s
47m         Normal    Created                        pod/consul-b2pcs                           Created container consul
47m         Normal    Started                        pod/consul-b2pcs                           Started container consul
47m         Warning   Unhealthy                      pod/consul-b2pcs                           Readiness probe failed:
38m         Warning   NodeNotReady                   pod/consul-b2pcs                           Node is not ready
36m         Warning   FailedToUpdateEndpoint         endpoints/consul-dns                       Failed to update endpoint kube-system/consul-dns: Operation cannot be fulfilled on endpoints "consul-dns": the object has been modified; please apply your changes to the latest version and try again
53m         Warning   FailedToUpdateEndpointSlices   service/consul-dns                         Error updating Endpoint Slices for Service kube-system/consul-dns: node "ip-10-1-30-25.eu-west-3.compute.internal" not found
37m         Warning   FailedToUpdateEndpointSlices   service/consul-dns                         Error updating Endpoint Slices for Service kube-system/consul-dns: node "ip-10-1-1-25.eu-west-3.compute.internal" not found
11m         Warning   FailedToUpdateEndpointSlices   service/consul-dns                         Error updating Endpoint Slices for Service kube-system/consul-dns: node "ip-10-1-37-225.eu-west-3.compute.internal" not found
55m         Warning   NodeNotReady                   pod/consul-dpgj6                           Node is not ready
20m         Normal    Scheduled                      pod/consul-ld6vw                           Successfully assigned kube-system/consul-ld6vw to ip-10-1-37-225.eu-west-3.compute.internal
20m         Normal    Pulling                        pod/consul-ld6vw                           Pulling image "hub.simloudcorp.customers.simloud.com/hashicorp/consul:1.10.0"
20m         Normal    Pulled                         pod/consul-ld6vw                           Successfully pulled image "hub.simloudcorp.customers.simloud.com/hashicorp/consul:1.10.0" in 9.22366459s
20m         Normal    Created                        pod/consul-ld6vw                           Created container consul
20m         Normal    Started                        pod/consul-ld6vw                           Started container consul
19m         Warning   Unhealthy                      pod/consul-ld6vw                           Readiness probe failed:
12m         Warning   NodeNotReady                   pod/consul-ld6vw                           Node is not ready
29m         Warning   Unhealthy                      pod/consul-p5hvd                           Readiness probe failed:
29m         Normal    Killing                        pod/consul-p5hvd                           Stopping container consul
34m         Normal    Scheduled                      pod/consul-q7hcx                           Successfully assigned kube-system/consul-q7hcx to ip-10-1-32-108.eu-west-3.compute.internal
34m         Normal    Pulling                        pod/consul-q7hcx                           Pulling image "hub.simloudcorp.customers.simloud.com/hashicorp/consul:1.10.0"
34m         Normal    Pulled                         pod/consul-q7hcx                           Successfully pulled image "hub.simloudcorp.customers.simloud.com/hashicorp/consul:1.10.0" in 6.405968522s
34m         Normal    Created                        pod/consul-q7hcx                           Created container consul
34m         Normal    Started                        pod/consul-q7hcx                           Started container consul
34m         Warning   Unhealthy                      pod/consul-q7hcx                           Readiness probe failed:
29m         Normal    Killing                        pod/consul-q7hcx                           Stopping container consul
54m         Normal    Scheduled                      pod/consul-q7hwq                           Successfully assigned kube-system/consul-q7hwq to ip-10-1-52-192.eu-west-3.compute.internal
54m         Normal    Pulling                        pod/consul-q7hwq                           Pulling image "hub.simloudcorp.customers.simloud.com/hashicorp/consul:1.10.0"
54m         Normal    Pulled                         pod/consul-q7hwq                           Successfully pulled image "hub.simloudcorp.customers.simloud.com/hashicorp/consul:1.10.0" in 6.624665756s
54m         Normal    Created                        pod/consul-q7hwq                           Created container consul
54m         Normal    Started                        pod/consul-q7hwq                           Started container consul
47m         Warning   Unhealthy                      pod/consul-q7hwq                           Readiness probe failed:
40m         Normal    ScaleDown                      pod/consul-q7hwq                           deleting pod for node scale down
40m         Normal    Killing                        pod/consul-q7hwq                           Stopping container consul
20m         Normal    Scheduled                      pod/consul-qrqvn                           Successfully assigned kube-system/consul-qrqvn to ip-10-1-51-246.eu-west-3.compute.internal
20m         Normal    Pulling                        pod/consul-qrqvn                           Pulling image "hub.simloudcorp.customers.simloud.com/hashicorp/consul:1.10.0"
